pref_code,facility_code,map_type,map_name,standard_name,standard_address,in_equipment_master,CT_confirmed_detail,MRI_confirmed_detail,CT_detail_classes,MRI_detail_classes,standard_latest_start_date,detail_status
13,3015823,病院,医療法人財団 川野病院,医療法人財団　川野病院,立川市錦町一丁目７番５号,True,False,False,,,平成28年 6月 1日,装置種別未確定
13,3023207,無床診療所,医療法人社団 豊友会 豊泉胃腸科外科,医療法人社団　豊友会　豊泉胃腸科外科,立川市上砂町三丁目１９番地２,False,False,False,,,平成25年10月 1日,装置種別未確定
13,3023405,無床診療所,立川相互ふれあいクリニック,立川相互ふれあいクリニック,立川市錦町一丁目２３番４号,False,False,False,,,平成25年11月 1日,装置種別未確定
13,3023678,無床診療所,医療法人社団 メディカルフェニックス メディカルスキャニング立川,医療法人社団　メディカルフェニックス　メディカルスキャニング立川,立川市柴崎町三丁目７番１６号　立川ワシントンホテル１階,False,False,False,,,令和 6年 3月 1日,装置種別未確定
13,3023926,無床診療所,こぶし脳神経クリニック,こぶし脳神経クリニック,立川市柴崎町二丁目５番８号　堤ビル２階,False,False,False,,,令和 2年 2月 1日,装置種別未確定
13,3024080,無床診療所,医療法人社団 進興会 立川北口健診館,医療法人社団　進興会　立川北口健診館,立川市曙町二丁目３７番７号　コアシティ立川ビル１階・６階・９階,False,False,False,,,令和元年 8月 1日,装置種別未確定
13,3024320,無床診療所,唯善クリニック内科・呼吸器内科,唯善クリニック内科・呼吸器内科,立川市富士見町一丁目３４番９号　イーストンビル１階,False,False,False,,,平成29年11月 1日,装置種別未確定
13,3024460,無床診療所,鈴木慶やすらぎクリニック,鈴木慶やすらぎクリニック,立川市若葉町三丁目３番地３,False,False,False,,,令和 6年 9月 1日,装置種別未確定
13,3024569,無床診療所,医療法人社団 東京石心会 立川新緑クリニック,医療法人社団　東京石心会　立川新緑クリニック,立川市若葉町三丁目５４番地１６,False,False,False,,,平成27年 1月 5日,装置種別未確定
13,3024841,無床診療所,医療法人社団 弘基会 おおたか脳神経外科・内科,医療法人社団　弘基会　おおたか脳神経外科・内科,立川市柏町四丁目５６番地１　グローバルビル１階Ａ,False,False,False,,,平成30年 4月 1日,装置種別未確定
13,3025277,無床診療所,医療法人社団 ＹＭＲ 立川脳神経外科クリニック,医療法人社団　ＹＭＲ　立川脳神経外科クリニック,立川市柴崎町６丁目１９番１６号　メディカル・フォレストたちかわ,False,False,False,,,令和 4年 4月 1日,装置種別未確定
13,3025566,無床診療所,立川相互錦町クリニック,立川相互錦町クリニック,立川市錦町一丁目１６番１５号,False,False,False,,,令和 7年 2月 1日,装置種別未確定
13,3025665,無床診療所,ほしの脳神経・整形外科・在宅クリニック立川,ほしの脳神経・整形外科・在宅クリニック立川,立川市一番町四丁目１７番７,False,False,False,,,令和 7年11月 1日,装置種別未確定
13,3070349,病院,立川相互病院,立川相互病院,立川市緑町４番地１,True,False,False,,,令和 3年12月 1日,装置種別未確定
13,3070356,病院,医療法人社団 敏和会 西砂川病院,医療法人社団　敏和会　西砂川病院,立川市砂川町八丁目２番３号,True,False,False,,,令和 5年 6月 1日,装置種別未確定
13,3115508,病院,社会福祉法人 浴光会 国分寺病院,社会福祉法人　浴光会　国分寺病院,国分寺市東恋ヶ窪四丁目２番地２,True,False,False,,,平成29年 4月 1日,装置種別未確定
13,3122892,無床診療所,たかの内科・脳神経外科クリニック,たかの内科・脳神経外科クリニック,国分寺市本町二丁目１０番９号　島田ビル２階Ｃ区画,False,False,False,,,令和 6年10月 1日,装置種別未確定
13,3123510,無床診療所,国分寺こもれび整形外科,国分寺こもれび整形外科,国分寺市並木町３丁目２３－２,False,False,False,,,令和 7年 8月 1日,装置種別未確定
13,3214160,病院,町田市民病院,町田市民病院,町田市旭町二丁目１５番４１号,True,False,False,,,令和 8年 8月 1日,装置種別未確定
13,3225067,有床診療所,医療法人社団 三翔会 町田脳神経外科,医療法人社団　三翔会　町田脳神経外科,町田市根岸町１００９番地４,True,False,False,,,令和 3年 5月 1日,装置種別未確定
13,3225158,無床診療所,医療法人社団 十愛会 いとうクリニック,医療法人社団　十愛会　いとうクリニック,町田市小川三丁目１０番５号,False,False,False,,,平成31年 2月 1日,装置種別未確定
13,3226271,無床診療所,たかはしクリニック,たかはしクリニック,町田市常盤町３２００番地１　ルーラルヒルズＡ号室,False,False,False,,,平成25年 6月 1日,装置種別未確定
13,3226610,無床診療所,入倉クリニック,入倉クリニック,町田市真光寺二丁目３７番１１号　鶴川台メディカルヴィレッジ脳神経外科棟,False,False,False,,,平成24年 4月 1日,装置種別未確定
13,3226651,無床診療所,医療法人社団 恭啓会 小野寺クリニック,医療法人社団　恭啓会　小野寺クリニック,町田市南大谷四丁目１８番２１号　サン・ニューヴィラ町田１０２号室,False,False,False,,,平成25年 6月 1日,装置種別未確定
13,3227840,無床診療所,すずき脳神経外科クリニック,すずき脳神経外科クリニック,町田市旭町三丁目１番１５号　旭町メディカルビル２階２０１号室,False,False,False,,,平成26年11月 1日,装置種別未確定
13,3227865,無床診療所,医療法人社団 泰大会 薬師台おはなぽっぽクリニック,医療法人社団　泰大会　薬師台おはなぽっぽクリニック,町田市薬師台一丁目２５番地１２　薬師台メディカルテラス,False,False,False,,,令和 7年 6月 1日,装置種別未確定
13,3227998,有床診療所,医療法人社団 南東京ハートクリニック,医療法人社団　南東京ハートクリニック,町田市木曽西二丁目１８番地１２,True,False,False,,,平成30年 4月 1日,装置種別未確定
13,3228376,無床診療所,なかはら脳神経クリニック,なかはら脳神経クリニック,町田市原町田四丁目１４番１４号　Ｌｉｆｉｘビル１階,False,False,False,,,平成29年10月 1日,装置種別未確定
13,3228434,無床診療所,医療法人社団 じあい会 メディカルスキャニング町田,医療法人社団　じあい会　メディカルスキャニング町田,町田市原町田六丁目１５番８号　高峰ビル１階,False,False,False,,,平成30年 3月 1日,装置種別未確定
13,3229234,無床診療所,医療法人社団 絢雄会 ジェイクリニック,医療法人社団　絢雄会　ジェイクリニック,町田市原町田一丁目７番１７号　ガレリア町田ビル３階,False,False,False,,,令和 5年 1月 1日,装置種別未確定
13,3229465,無床診療所,やました内科・脳神経クリニック,やました内科・脳神経クリニック,町田市山崎町２０５５番地２　グランハート町田Ｂ－１０７,False,False,False,,,令和 6年 4月 1日,装置種別未確定
13,3229622,無床診療所,医療法人社団 優和会 湘南健診クリニック ココットまちだ館,医療法人社団　優和会　湘南健診クリニック　ココットまちだ館,町田市原町田六丁目８番１号　町田センタービル２階,False,False,False,,,令和 7年12月 1日,装置種別未確定
13,3229747,無床診療所,鶴川脳神経クリニック,鶴川脳神経クリニック,町田市能ヶ谷１－５－４　ルーブル夏目　２０１号室,False,False,False,,,令和 8年 1月 1日,装置種別未確定
13,3229770,無床診療所,東京町田アーク内科・呼吸器クリニック,東京町田アーク内科・呼吸器クリニック,町田市南成瀬５－３３－１　南成瀬メディカルヴィレッジ　東棟１階,False,False,False,,,令和 8年 4月 1日,装置種別未確定
13,3270022,病院,医療法人財団明理会 イムス明理会東京町田病院,医療法人財団明理会　イムス明理会東京町田病院,町田市真光寺町１９７番地,False,False,False,,,平成29年 2月 1日,装置種別未確定
