facility_id,name,ct,mri,ct64,ct16_63,ct_under16,mri3t,mri15_3,mri_under15,latest,update,ctannual,mriannual,annualstatus
0213273,三島病院,1,1,0,1,0,0,1,0,,,,,
0214263,立川綜合病院,3,2,2,1,0,1,1,0,,,,,
0410739,済生会三条病院,1,1,0,1,0,0,1,0,,,,,
0411372,富永草野病院,1,1,0,1,0,0,1,0,,,,,
0411497,かもしか病院,1,0,0,1,0,0,0,0,,,,,
0411935,済生会新潟県央基幹病院,3,2,2,1,0,1,1,0,,,,,
0510777,柏崎中央病院,1,1,1,0,0,0,1,0,,,,,
0510819,立川ﾒﾃﾞｨｶﾙｾﾝﾀｰ柏崎厚生病院,1,0,0,0,1,0,0,0,,,,,
8910045,国立病院機構 新潟病院,1,1,1,0,0,0,1,0,,,,,
0611104,いけだ耳鼻科　駅前医院,1,0,0,0,0,0,0,0,,,,,
0611328,竹内病院,1,1,0,1,0,0,1,0,,,,,
0611443,北越病院,1,0,0,1,0,0,0,0,,,,,
0611799,新発田リハビリテーション病院,1,0,0,1,0,0,0,0,,,,,
0612003,新潟県立新発田病院,3,2,2,1,0,1,1,0,,,,,
0810466,小千谷さくら病院,1,1,0,1,0,0,0,1,,,,,
0910324,新潟県立加茂病院,1,1,1,0,0,0,1,0,,,,,
1110494,見附市立病院,1,1,1,0,0,0,1,0,,,,,
1210716,村上記念病院,1,0,0,1,0,0,0,0,,,,,
1210948,新潟県立坂町病院,1,0,1,0,0,0,0,0,,,,,
1210971,山北徳新会病院,1,1,1,0,0,0,1,0,,,,,
1211193,厚生連村上総合病院,1,1,1,0,0,0,1,0,,,,,
1310755,新潟県立吉田病院,1,1,1,0,0,0,1,0,,,,,
1510545,厚生連糸魚川総合病院,1,1,1,0,0,0,1,0,,,,,
1510552,よしだ病院,0,1,0,0,0,0,1,0,,,,,
1610212,厚生連けいなん総合病院,1,1,1,0,0,0,1,0,,,,,
1610543,新潟県立妙高病院,1,0,0,1,0,0,0,0,,,,,
1710418,五泉中央病院,2,2,1,1,0,1,1,0,,,,,
1710632,南部郷厚生病院,1,1,0,1,0,0,1,0,,,,,
0310319,知命堂病院,1,0,0,1,0,0,0,0,,,,,
0311804,新潟県立中央病院,3,2,2,1,0,1,1,0,,,,,
