pref_code,facility_code,facility_name,ct_count_medicalinfo,ctannual_medicalinfo,mriannual_medicalinfo,audit_result,medical_info_net_ID,medical_info_kikanCd,medical_info_url,checked_date
08,2111839,田中循環器内科クリニック,1,,,CT保有台数確認,082208703905,208703905,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208703905&kikanKbn=2&prefCd=08,2026-09-18
08,2210508,医療法人松優会　松倉中央クリニック,,,,設備欄未掲載・CT/MRI未確認,082208571290,208571290,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208571290&kikanKbn=2&prefCd=08,2026-09-18
08,2210599,アントラーズスポーツクリニック,,,,設備欄未掲載・CT/MRI未確認,082208572183,208572183,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208572183&kikanKbn=2&prefCd=08,2026-09-18
08,2310142,医療法人社団　福寿会　飯島内科,,,,設備欄あり・CT/MRI記載なし,082208570697,208570697,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208570697&kikanKbn=2&prefCd=08,2026-09-18
08,2310217,医療法人社団同仁会　常南医院,1,,,CT保有台数確認,082208571434,208571434,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208571434&kikanKbn=2&prefCd=08,2026-09-18
08,2310332,潮来ハートクリニック,1,,,CT保有台数確認,082208574767,208574767,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208574767&kikanKbn=2&prefCd=08,2026-09-18
08,2410413,医療法人　慶友会　ひがしクリニック慶友,1,,,CT保有台数確認,082208584050,208584050,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208584050&kikanKbn=2&prefCd=08,2026-09-18
08,2410850,南守谷クリニック,,,,設備欄あり・CT/MRI記載なし,082208760058,208760058,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208760058&kikanKbn=2&prefCd=08,2026-09-18
08,2510147,大曽根内科小児科,1,,,CT保有台数確認,082208530233,208530233,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208530233&kikanKbn=2&prefCd=08,2026-09-18
08,1210384,太田ネフロクリニック,1,,,CT保有台数確認（再試行成功）,082208531100,208531100,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208531100&kikanKbn=2&prefCd=08,2026-09-18
08,1210418,医療法人慈仁会　川崎クリニック,1,,,CT保有台数確認（再試行成功）,082208532439,208532439,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208532439&kikanKbn=2&prefCd=08,2026-09-18
08,1610393,常陸クリニック,,,,設備欄あり・CT/MRI記載なし（再試行成功）,082208520559,208520559,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208520559&kikanKbn=2&prefCd=08,2026-09-18
08,1711621,とりで腎・泌尿器科クリニック,1,,,CT保有台数確認（再試行成功）,0822080003579,2080003579,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2080003579&kikanKbn=2&prefCd=08,2026-09-18
09,0812387,小山ステーション脳神経外科・内科,,,,設備欄確認・CT/MRI記載なし,0922090000054,2090000054,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090000054&kikanKbn=2&prefCd=09,2026-09-18
09,0910264,真岡中央クリニック,,,,CT設備行あり・保有台数0表示（保有未確定）,0922090009542,2090009542,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090009542&kikanKbn=2&prefCd=09,2026-09-18
