region_code,都道府県,地域,ACTIVITY_v28,ACTIVITY_v29,ACTIVITY差,CURRENT_SUPPLY_v28,CURRENT_SUPPLY_v29,CURRENT_SUPPLY差,ACTIVITY充足率_v28,ACTIVITY充足率_v29,手術型β,手術データ充足率,救急型β,救急データ充足率,入院型β,入院データ充足率,活動プロファイル
33586,岡山県,新庄村,,,,0.11726305609284327,0.11726305609284327,0.0,,0.0,,,,,,,データ不足
33461,岡山県,矢掛町,2.0,2.0,0.0,0.8709209587492919,0.8709209587492919,0.0,1,0.9999999999999999,2.0,1,2.0,1,2.0,1,複合型
33445,岡山県,里庄町,,,,0.5469760191011364,0.5469760191011364,0.0,1,0.0,,0,,0,,0,データ不足
33423,岡山県,早島町,2.0,2.0,0.0,1.248696309162932,1.248696309162932,0.0,1,0.6499999999999999,2.0,1,2.0,1,,0,複合型
33346,岡山県,和気町,1.1090341556306758,1.1090341556306758,0.0,0.9020052816309245,0.9020052816309245,0.0,1,0.9999999999999999,1.5869544169474459,1,0.8197055137844611,1,0.8791098730392328,1,手術型
33216,岡山県,浅口市,-0.5288415561690617,-0.5288415561690617,0.0,-0.27420606842034545,-0.27420606842034545,0.0,1,0.9999999999999999,-0.524974495274914,1,-0.5530570702478999,1,-0.511952462138491,1,活動量低め
33215,岡山県,美作市,-0.4407785456194565,-0.4407785456194565,0.0,-0.217809080220111,-0.217809080220111,0.0,0.8888888888888888,0.8833333333333332,-0.5940025780956104,1,-0.1412400591469002,1,-0.5443017872626366,0.6666666666666666,救急型
33214,岡山県,真庭市,0.10207365002722538,0.10207365002722538,0.0,0.2455910938457605,0.2455910938457605,0.0,1,0.9999999999999999,-0.018025310509937498,1,0.36127502901901165,1,0.0,1,救急型
33213,岡山県,赤磐市,-0.5904570957243216,-0.5904570957243216,0.0,-0.41312410137121336,-0.41312410137121336,0.0,1,0.9999999999999999,-0.6037472707703416,1,-0.40299783259194866,1,-0.7378462890774786,1,活動量低め
33212,岡山県,瀬戸内市,-0.4198227646976846,-0.4198227646976846,0.0,0.07196362791904372,0.07196362791904372,0.0,0.8333333333333334,0.825,-0.5103797033958102,1,-0.32704966258625734,1,-0.4087856278093538,0.5,活動量低め
