pref_code,facility_code,map_type,map_name,map_beds,in_equipment_master
13,1631621,無床診療所,医療法人社団 明芳会 ＩＭＳ ＭｅーＬｉｆｅクリニック池袋,0,False
13,1631647,無床診療所,本阿弥医院,0,False
13,1632611,無床診療所,サン虎の門クリニック,0,False
13,1633171,無床診療所,医療法人社団 水聖会 メディカルスキャニング池袋,0,False
13,1633676,無床診療所,医療法人社団 絆 アーバンハイツクリニック,0,False
13,1633718,無床診療所,医療法人社団 壽仙會 仙石クリニック,0,False
13,1635291,無床診療所,目白整形外科内科,0,False
13,1636000,有床診療所,医療法人社団 育生會 山口医院,19,True
13,1636240,無床診療所,大塚山田脳神経外科クリニック,0,False
13,1637552,無床診療所,池袋消化器内科・泌尿器科クリニック,0,False
13,1637560,無床診療所,医療法人社団 水聖会 メディカルスキャニング巣鴨,0,False
13,1637586,無床診療所,東京スポーツ＆整形外科クリニック,0,False
13,1637750,無床診療所,医療法人社団 幸和会 幸和クリニック,0,False
13,1638188,無床診療所,医療法人社団 東京桜十字 池袋桜十字クリニック,0,False
13,1638899,無床診療所,三木内科クリニック,0,False
13,1670017,病院,医療法人社団 日心会 総合病院一心病院,107,True
13,1670892,病院,医療法人社団 仁泉会 としま昭和病院,46,True
13,1670959,病院,要町病院,131,True
13,1670975,病院,医療法人社団 ＥＮＥＸＴ 池袋西口病院,40,True
13,1670991,病院,医療法人社団 久福会 関野病院,112,True
13,1671007,病院,医療法人社団 敬悠会 副都心病院,50,True
13,1671023,病院,地方独立行政法人 東京都立病院機構 東京都立大塚病院,413,True
13,1711878,病院,医療法人財団 逸生会 大橋病院,144,True
13,1711886,病院,医療法人社団 田島厚生会 神谷病院,140,True
13,1719897,病院,社会福祉法人 新栄会 滝野川病院,59,True
13,1729490,有床診療所,医療法人社団 博栄会 赤羽中央総合病院附属クリニック,6,False
13,1729532,無床診療所,医療法人社団 健敏会 すずきクリニック,0,False
13,1729953,無床診療所,医療法人社団 田端放射線科クリニック,0,True
13,1730977,無床診療所,医療法人社団 敬天会 鶴田板橋クリニック,0,False
13,1731314,無床診療所,医療法人社団 健診会 東京メディカルクリニック,0,False
13,1731330,無床診療所,東京ふれあい医療生活協同組合 梶原診療所,0,False
13,1731934,無床診療所,医療法人社団 寿廣記念会 岸メディカルクリニック,0,False
13,1732320,有床診療所,東京脊椎クリニック,19,True
13,1732866,有床診療所,木村外科内科,19,True
13,1733062,無床診療所,赤羽循環器内科・画像クリニック,0,False
13,1733112,無床診療所,赤羽並木通りクリニック 内科・脳神経内科,0,False
13,1733260,無床診療所,医療法人社団東京白報会 総合クリニックドクターランド赤羽,0,False
13,1770023,病院,医療法人社団 埴原会 赤羽病院,99,True
13,1770106,病院,東京都立北療育医療センター,120,False
13,1770130,病院,医療法人社団 金地病院,38,True
13,1770635,病院,医療法人社団 博栄会 浮間中央病院,95,True
13,1770650,病院,医療法人社団 中央白報会 白報会王子病院,112,True
13,1770718,病院,王子生協病院,159,True
13,1770734,病院,公益社団法人地域医療振興協会 東京北医療センター,351,True
13,1770759,病院,医療法人財団 明理会 明理会中央総合病院,312,True
13,1770767,病院,医療法人社団 福寿会 赤羽岩渕病院,50,True
13,1770783,病院,花と森の東京病院,199,True
13,1770791,病院,赤羽東口病院,73,True
13,1770809,病院,医療法人社団 博栄会 赤羽中央総合病院,199,True
13,1770817,病院,社会医療法人社団東京巨樹の会 赤羽リハビリテーション病院,240,True
13,1812072,病院,社会福祉法人 上宮会 日暮里上宮病院,81,True
13,1817949,病院,医療法人社団 関川会 関川病院,141,True
13,1825611,無床診療所,医療法人社団 桂文会 堀メディカルクリニック,0,False
13,1825652,無床診療所,医療法人社団 水聖会 メディカルスキャニング日暮里,0,False
13,1825793,無床診療所,医療法人社団 恵周会白河病院 東京人間ドッグクリニック,0,False
13,1826155,無床診療所,医療法人社団 公尽会 さいとうクリニック,0,False
13,1826783,無床診療所,日暮里健診プラザ,0,False
13,1827369,無床診療所,竹内医院,0,False
13,1870088,病院,医療法人社団 愛和会 南千住病院,76,True
13,1870815,病院,医療法人社団 杏精会 岡田病院,57,True
13,1870831,病院,医療法人社団 福寿会 佐藤病院,98,False
13,1870872,病院,医療法人社団 美誠会 荒川病院,153,True
13,1870880,病院,社会医療法人社団 正志会 荒木記念東京リバーサイド病院,115,True
13,1870898,病院,医療法人社団 成守会 はせがわ病院,86,True
13,1870914,病院,社会医療法人社団 一成会 木村病院,99,True
13,1870922,病院,令和あらかわ病院,240,True
13,1911502,病院,日本大学医学部附属板橋病院,988,True
13,1911627,病院,医療法人財団 同潤会 富士見病院,26,True
13,1911635,病院,医療法人財団 健康文化会 小豆沢病院,130,True
13,1911700,病院,心身障害児総合医療療育センター,251,True
13,1911718,病院,医療法人社団 翠会 成増厚生病院,484,True
13,1915123,病院,公益財団法人 愛世会 愛誠病院,441,True
13,1915131,病院,一般財団法人 精神医学研究所 附属東京武蔵野病院,601,True
13,1916121,病院,医療法人社団 明芳会 板橋中央総合病院,579,True
13,1918358,病院,医療法人財団 朔望会 常盤台外科病院,99,True
13,1919588,病院,帝京大学医学部附属病院,1014,True
13,1919984,病院,板橋区医師会病院,146,True
13,1931377,無床診療所,医療法人社団 平和会 和気医院,0,False
13,1931922,無床診療所,野村医院,0,False
13,1932425,無床診療所,医療法人社団 慈誠会 人間ドック会館クリニック,0,False
13,1932441,無床診療所,医療法人 知真会 小茂根内科クリニック,0,False
13,1933225,無床診療所,ねや内科クリニック,0,False
13,1933399,無床診療所,西台クリニック,0,False
13,1934603,無床診療所,医療法人社団 琉神会 のむら脳神経外科,0,False
13,1934793,無床診療所,医療法人社団ＰＡＮＤＡ うえのとしあき脳神経クリニック板橋,0,False
13,1934892,無床診療所,成増慶友整形外科リウマチ科,0,False
13,1970078,病院,医療法人社団 慈誠会 慈誠会徳丸リハビリテーション病院,106,True
13,1970144,病院,医療法人社団 昭成会 田﨑病院,127,True
13,1970250,病院,医療法人社団 誠志会 誠志会病院,152,True
13,1970722,病院,医療法人社団 正風会 小林病院,96,True
13,1970730,病院,医療法人社団 和好会 金子病院,62,True
13,1970763,病院,医療法人社団 明芳会 イムス記念病院,72,True
13,1970797,病院,医療法人社団 慈誠会 慈誠会前野病院,108,True
13,1970805,病院,医療法人社団 慈誠会 慈誠会成増病院,168,True
13,1970813,病院,医療法人社団 叡宥会 安田病院,43,True
13,1970821,病院,医療法人社団 慈誠会 慈誠会記念病院,113,True
13,1970839,病院,医療法人社団 博鳳会 敬愛病院,54,True
13,1970847,病院,医療法人社団 健育会 竹川病院,161,True
13,1970854,病院,医療法人社団 慈誠会 東武練馬中央病院,131,True
13,1970862,病院,東京都健康長寿医療センター,550,True
13,1970896,病院,医療法人社団 慈誠会 上板橋病院,150,True
13,1970912,病院,医療法人社団 慈誠会 浮間舟渡病院,149,True
13,1970920,病院,医療法人社団 美誠会 板橋宮本病院,180,True
13,1970938,病院,医療法人財団 明理会 明理会東京大和病院,168,True
13,1970946,病院,医療法人社団 明芳会 高島平中央総合病院,235,True
13,1970961,病院,医療法人財団 朔望会 リハビリテーション エーデルワイス病院,145,True
13,1970979,病院,リハビリパーク板橋病院,184,True
13,1971001,病院,地方独立行政法人 東京都立病院機構 東京都立豊島病院,438,True
13,2011724,病院,医療法人財団 厚生協会 大泉病院,240,False
13,2011799,病院,医療法人社団 さくら景星会 桜台病院,88,True
13,2015154,病院,医療法人社団 じうんどう 慈雲堂病院,476,False
13,2016525,病院,医療法人社団 浩生会 浩生会スズキ病院,99,True
13,2026581,無床診療所,南町医院,0,False
13,2027795,無床診療所,医療法人社団 白鳳会 大角医院,0,False
13,2027951,有床診療所,医療法人財団 秀行会 阿部クリニック,19,True
13,2027969,無床診療所,一般社団法人 練馬区医師会 医療健診センター,0,False
13,2029635,有床診療所,医療法人社団 川満惠光会 川満外科,19,True
13,2029767,無床診療所,医療法人社団 清真会 麦島内科クリニック,0,False
13,2029973,無床診療所,高野台クリニック,0,False
13,2030237,無床診療所,保谷駅前クリニック,0,False
13,2030500,有床診療所,医療法人社団 翔洋会 辻内科循環器科歯科クリニック,19,True
13,2032076,無床診療所,練馬桜台クリニック,0,False
13,2032910,無床診療所,医療法人社団 交友会 氷川台内科クリニック,0,False
13,2033637,無床診療所,築根クリニック,0,False
13,2034312,無床診療所,新田クリニック,0,False
13,2034940,無床診療所,医療法人社団 輝恭会 いしい脳神経外科・内科クリニック,0,False
13,2035657,無床診療所,医療法人社団 順洋会 武蔵野総合クリニック練馬,0,False
13,2036465,無床診療所,医療法人社団 じあい会 メディカルスキャニング富士見台,0,False
13,2036614,無床診療所,医療法人社団 サマリア会 西大泉呼吸器科内科クリニック,0,False
13,2036838,無床診療所,保谷医院,0,False
13,2037174,無床診療所,医療法人社団 蒼生会 高松医院,0,False
13,2037307,無床診療所,医療法人社団 順政会 はたクリニック,0,False
13,2037828,無床診療所,医療法人社団 メディカルフェニックス メディカルスキャニング練馬高野台,0,False
13,2037893,無床診療所,医療法人社団 嘉例会 大泉学園ふれあいクリニック,0,False
13,2038156,無床診療所,上石神井もりもと脳神経外科,0,False
13,2038255,無床診療所,ねりま脳神経外科,0,False
13,2038537,無床診療所,医療法人社団健功会 山川クリニック,0,False
13,2038636,無床診療所,医療法人社団千歳会 新桜台駅前脳神経外科・内科クリニック,0,False
13,2038719,無床診療所,東京ＴＣＭクリニック乳腺外科＆腫瘍内科,0,False
13,2038727,無床診療所,滝澤クリニック,0,False
13,2070027,病院,医療法人社団 千秋会 田中吉祥寺病院,58,True
13,2070886,病院,医療法人社団 育陽会 練馬さくら病院,178,True
13,2070894,病院,大泉生協病院,94,True
13,2070928,病院,学校法人 順天堂 順天堂大学医学部附属練馬病院,490,True
13,2070936,病院,公益財団法人 東京都医療保健協会 練馬総合病院,223,True
13,2070944,病院,医療法人社団 はなぶさ会 島村記念病院,90,True
13,2070969,病院,医療法人社団 慈誠会 練馬駅リハビリテーション病院,150,True
13,2070977,病院,医療法人社団 翠会 陽和病院,260,False
13,2070985,病院,医療法人社団 健育会 ねりま健育会病院,100,True
13,2070993,病院,医療法人社団 慈誠会 慈誠会・練馬高野台病院,218,True
13,2071009,病院,公益社団法人 地域医療振興協会 練馬光が丘病院,457,True
13,2071017,病院,医療法人 志匠会 練馬志匠会病院,60,False
13,2071025,病院,医療法人社団 忠医会 忠医会病院,111,True
13,2071033,病院,医療法人社団 慈誠会 慈誠会・光が丘病院,157,True
13,2112183,病院,医療法人財団 梅田病院,120,True
13,2112233,病院,医療法人財団 厚生協会 東京足立病院,315,False
13,2112241,病院,医療法人社団 苑田会 愛里病院,117,True
13,2112258,病院,医療法人社団 八葉会 大石記念病院,215,False
13,2112308,病院,社会福祉法人 勝楽堂病院,105,True
13,2116846,病院,医療法人社団 大和会 大内病院,228,False
13,2117661,病院,博慈会記念総合病院,288,True
13,2119378,病院,医療法人社団 綾瀬病院,97,False
13,2126811,無床診療所,医療法人財団 ひこばえ会 セツルメント診療所,0,True
13,2128684,無床診療所,医療法人社団 恭美会 西川クリニック,0,False
13,2129195,無床診療所,医療法人社団 あすは会 東伊興クリニック,0,False
13,2129450,有床診療所,医療法人社団 星風会 井上クリニック,18,True
13,2130763,無床診療所,医療法人社団 容生会 増田クリニック,0,False
13,2131068,有床診療所,医療法人社団 昭明会 大谷田整形外科,12,True
13,2131159,無床診療所,医療法人社団 明桜会 ハラダクリニック,0,False
13,2131498,無床診療所,松下胃腸科外科,0,False
13,2131837,無床診療所,医療法人社団 泰晴会 あおば内科・総合診療クリニック,0,False
13,2131860,有床診療所,医療法人社団 容生会 ようせいクリニック,19,True
13,2133148,無床診療所,医療法人社団 苑田会 苑田会放射線クリニック,0,False
13,2133379,無床診療所,医療法人社団 慈航会 阿部メディカルクリニック,0,False
13,2133387,無床診療所,内科・脳神経外科 西原クリニック,0,False
13,2133395,無床診療所,医療法人社団 たいける会 渡辺整形外科,0,False
13,2133577,無床診療所,医療法人社団 恭生会 あやせ脳神経外科,0,False
13,2133759,無床診療所,西新井駅前さくら参道内科クリニック,0,False
13,2133932,無床診療所,綾瀬おかだクリニック,0,False
13,2134104,有床診療所,医療法人社団 やよい会 あだち江北メディカルクリニック,19,True
13,2134310,無床診療所,高田医院,0,False
13,2134385,無床診療所,医療法人社団 六扇会 西新井江北クリニック,0,False
13,2134583,無床診療所,医療法人社団 永真会 川の手通りクリニック,0,False
13,2134823,無床診療所,西新井駅東口クリニック,0,False
13,2134955,無床診療所,医療法人社団福寿会 ハートセントラルクリニック,0,False
13,2135101,無床診療所,足立慶友整形外科,0,False
13,2135325,無床診療所,東京千住・尚視会クリニック 健診プラザ,0,False
13,2135408,無床診療所,とねり腎泌尿器クリニック,0,False
13,2135622,無床診療所,医療法人社団秀匠会 わしざわ整形外科,0,False
13,2135937,有床診療所,医療法人社団恵羊会 ひつじ救急クリニック,19,False
13,2136026,無床診療所,六町ハートクリニック,0,False
13,2170116,病院,社会医療法人社団 慈生会 等潤病院,150,True
13,2170207,病院,医療法人社団 大坪会 東和病院,299,True
13,2170215,病院,医療法人社団 星風会 井上病院,66,True
13,2170272,病院,医療法人社団 哲仁会 井口病院,53,False
13,2170355,病院,社会医療法人社団 昭愛会 水野記念病院,157,True
13,2170991,病院,医療法人社団 すずき病院,110,True
13,2171015,病院,医療法人社団 日岩会 下井病院,95,True
13,2171023,病院,医療法人社団 心和会 足立共済病院,52,True
13,2171049,病院,医療法人財団 健和会 柳原病院,90,True
13,2171106,病院,医療法人社団 けいせい会 東京北部病院,134,True
13,2171114,病院,医療法人社団 苑田会 苑田第一病院,221,True
13,2171130,病院,医療法人社団 東京朝日会 あさひ病院,95,True
13,2171155,病院,あだち共生病院,60,True
13,2171171,病院,医療法人社団 弘仁勝和会 勝和会病院,21,True
13,2171205,病院,特定医療法人社団 潤恵会 敬仁病院,68,True
13,2171213,病院,医療法人財団 健和会 柳原リハビリテーション病院,95,True
13,2171221,病院,医療法人社団 苑田会 苑田第三病院,117,True
13,2171239,病院,社会医療法人社団 医善会 いずみ記念病院,144,True
13,2171254,病院,医療法人社団 成仁病院,114,False
13,2171288,病院,医療法人社団 洪泳会 東京洪誠病院,156,True
13,2171296,病院,医療法人社団 洪泳会 第二洪誠病院,85,True
13,2171353,病院,扇大橋病院,96,True
13,2171361,病院,医療法人社団 俊和会 寺田病院,50,True
13,2171395,病院,桜会病院,351,True
13,2171411,病院,綾瀬循環器病院,76,True
13,2171437,病院,医療法人社団福寿会 福寿会東京病院,196,False
13,2171452,病院,友愛病院,60,True
13,2171460,病院,医療法人社団 苑風会 苑風会病院,56,True
13,2171478,病院,医療法人社団 大和会 平成扇病院,120,True
13,2171486,病院,あやせ循環器リハビリ病院,76,True
13,2171494,病院,医療法人社団 苑田会 花はたリハビリテーション病院,180,True
13,2171502,病院,医療法人社団 苑田会 足立十全病院,110,True
13,2171510,病院,医療法人社団 忠医会 大高病院,82,True
13,2171528,病院,医療法人社団 健整会 米倉脊椎・関節病院,54,True
13,2171544,病院,医療法人社団 福寿会 慈英会病院,48,True
13,2171569,病院,医療法人社団 福寿会 福寿会足立東部病院,128,True
13,2171577,病院,東京女子医科大学附属足立医療センター,450,True
13,2171585,病院,医療法人社団 福寿会 福寿会病院,176,True
13,2171593,病院,医療法人社団 苑田会 竹の塚脳神経リハビリテーション病院,180,True
13,2171601,病院,医療法人社団 苑田会 苑田会ニューロリハビリテーション病院,180,True
13,2171627,病院,博豊会脊椎病院,78,False
13,2171635,病院,医療法人社団福寿会 みらいリハビリテーション病院,81,True
13,2212389,病院,東京慈恵会医科大学葛飾医療センター,371,True
13,2212405,病院,医療法人財団 葛飾厚生会 東立病院,57,True
13,2212488,病院,医療法人財団 謙仁会 亀有病院,98,True
13,2212520,病院,医療法人財団 慈光会 堀切中央病院,127,True
13,2217255,病院,社会福祉法人 仁生社 江戸川病院高砂分院,99,True
13,2218972,病院,医療法人社団幸博会 高山整形外科病院,48,True
13,2226421,無床診療所,医療法人社団 愛育苑診療所,0,False
13,2227445,無床診療所,医療法人社団 細田診療所,0,False
13,2228922,無床診療所,医療法人社団 昭正会 新柴又駅前クリニック,0,False
13,2229136,無床診療所,医療法人社団 明芳会 新葛飾ロイヤルクリニック,0,False
13,2229748,無床診療所,新宿診療所,0,False
13,2229755,無床診療所,金町成人病クリニック,0,False
