pref_code,facility_id,facility_name_map,name,ct,mri,ct64,ct16_63,ct_under16,mri3t,mri15_3,mri_under15,latest,update,ctannual,mriannual,annualstatus
13,1514983,社会福祉法人 浴風会 浴風会病院,社会福祉法人浴風会 浴風会病院,1,1,0,1,0,0,1,0,,,,,
13,1670975,医療法人社団 ＥＮＥＸＴ 池袋西口病院,医療法人社団ENEXT　池袋西口病院,1,0,0,1,0,0,0,0,,,,,
13,1611474,医療法人社団 生全会 池袋病院,（医社）生全会 池袋病院,1,0,1,0,0,0,0,0,,,,,
13,1670892,医療法人社団 仁泉会 としま昭和病院,医療法人社団仁泉会 としま昭和病院,1,0,0,1,0,0,0,0,,,,,
13,1617588,医療法人社団 瑞雲会 高田馬場病院,医療法人社団瑞雲会 高田馬場病院,1,0,0,1,0,0,0,0,,,,,
13,1670959,要町病院,要町病院,1,0,0,1,0,0,0,0,,,,,
13,1670017,医療法人社団 日心会 総合病院一心病院,医療法人社団日心会 総合病院一心病院,1,0,1,0,0,0,0,0,,,,,
13,1670991,医療法人社団 久福会 関野病院,医療法人社団久福会 関野病院,1,0,1,0,0,0,0,0,,,,,
13,1617836,社会医療法人社団 大成会 長汐病院,社会医療法人社団大成会　長汐病院,1,1,0,1,0,0,1,0,,,,,
13,1671007,医療法人社団 敬悠会 副都心病院,医療法人社団敬悠会 副都心病院,1,0,0,1,0,0,0,0,,,,,
13,1711878,医療法人財団 逸生会 大橋病院,医療法人財団逸生会 大橋病院,1,0,1,0,0,0,0,0,,,,,
13,1770130,医療法人社団 金地病院,医療法人社団金地病院,2,0,1,0,1,0,0,0,,,,,
13,1770817,社会医療法人社団東京巨樹の会 赤羽リハビリテーション病院,赤羽リハビリテーション病院,1,0,0,1,0,0,0,0,,,,,
13,1719897,社会福祉法人 新栄会 滝野川病院,社会福祉法人新栄会滝野川病院,1,0,0,1,0,0,0,0,,,,,
13,1770718,王子生協病院,王子生協病院,1,0,1,0,0,0,0,0,,,,,
13,1770783,花と森の東京病院,花と森の東京病院,1,1,1,0,0,0,1,0,,,,,
13,1770023,医療法人社団 埴原会 赤羽病院,医療法人社団埴原会赤羽病院,1,0,0,1,0,0,0,0,,,,,
13,1711886,医療法人社団 田島厚生会 神谷病院,医療法人社団田島厚生会神谷病院,1,0,1,0,0,0,0,0,,,,,
13,1770650,医療法人社団 中央白報会 白報会王子病院,医療法人社団中央白報会 白報会王子病院,1,0,0,1,0,0,0,0,,,,,
13,1770734,公益社団法人地域医療振興協会 東京北医療センター,公益社団法人地域医療振興協会 東京北医療センター,2,2,2,0,0,1,1,0,,,,,
13,1770791,赤羽東口病院,医療法人社団景星会赤羽 赤羽東口病院,2,1,1,0,0,0,1,0,,,,,
13,1770635,医療法人社団 博栄会 浮間中央病院,医療法人社団博栄会 浮間中央病院,1,0,1,0,0,0,0,0,,,,,
13,1770759,医療法人財団 明理会 明理会中央総合病院,医療法人財団明理会 明理会中央総合病院,1,1,1,0,0,0,1,0,,,,,
13,1770767,医療法人社団 福寿会 赤羽岩渕病院,医療法人社団福寿会 赤羽岩渕病院,1,0,1,0,0,0,0,0,,,,,
13,1970250,医療法人社団 誠志会 誠志会病院,医療法人社団誠志会 誠志会病院,1,0,0,1,0,0,0,0,,,,,
13,1970763,医療法人社団 明芳会 イムス記念病院,医療法人社団明芳会 イムス記念病院,1,0,1,0,0,0,0,0,,,,,
13,1970912,医療法人社団 慈誠会 浮間舟渡病院,医療法人社団慈誠会 浮間舟渡病院,1,0,1,0,0,0,0,0,,,,,
13,1970722,医療法人社団 正風会 小林病院,医療法人社団正風会 小林病院,1,1,0,1,0,0,1,0,,,,,
13,1970839,医療法人社団 博鳳会 敬愛病院,医療法人社団博鳳会 敬愛病院,1,0,1,0,0,0,0,0,,,,,
13,1970144,医療法人社団 昭成会 田﨑病院,医療法人社団昭成会 田﨑病院,1,0,0,1,0,0,0,0,,,,,
13,1970078,医療法人社団 慈誠会 慈誠会徳丸リハビリテーション病院,医療法人社団慈誠会 慈誠会徳丸リハビリテーション病院,1,0,0,1,0,0,0,0,,,,,
13,1911718,医療法人社団 翠会 成増厚生病院,医療法人社団翠会　成増厚生病院,1,0,0,1,0,0,0,0,,,,,
13,1911635,医療法人財団 健康文化会 小豆沢病院,医療法人財団健康文化会小豆沢病院,1,0,1,0,0,0,0,0,,,,,
13,1970862,東京都健康長寿医療センター,地方独立行政法人 東京都健康長寿医療センター,3,3,2,1,0,2,1,0,,,,,NO_VALUE_ON_PUBLIC_PAGE
13,1970797,医療法人社団 慈誠会 慈誠会前野病院,医療法人社団慈誠会 慈誠会前野病院,1,0,0,1,0,0,0,0,,,,,
13,1970920,医療法人社団 美誠会 板橋宮本病院,医療法人社団美誠会 板橋宮本病院,1,0,0,1,0,0,0,0,,,,,
13,1915123,公益財団法人 愛世会 愛誠病院,公益財団法人愛世会愛誠病院,2,1,0,1,0,0,0,1,,,,,
13,1970847,医療法人社団 健育会 竹川病院,医療法人社団健育会 竹川病院,1,1,0,1,0,0,0,1,,,,,
13,1970979,リハビリパーク板橋病院,リハビリパーク板橋病院,1,0,0,1,0,0,0,0,,,,,
13,1970813,医療法人社団 叡宥会 安田病院,医療法人社団叡宥会 安田病院,1,0,0,1,0,0,0,0,,,,,
13,1970938,医療法人財団 明理会 明理会東京大和病院,医療法人財団明理会 明理会東京大和病院,1,1,1,0,0,0,1,0,,,,,
13,1919588,帝京大学医学部附属病院,帝京大学医学部附属病院,7,4,7,0,0,3,1,0,,,,,
13,1970854,医療法人社団 慈誠会 東武練馬中央病院,医療法人社団慈誠会 東武練馬中央病院,1,0,1,0,0,0,0,0,,,,,
13,1911700,心身障害児総合医療療育センター,心身障害児総合医療療育センター,1,0,0,1,0,0,0,0,,,,,
13,1970805,医療法人社団 慈誠会 慈誠会成増病院,医療法人社団慈誠会 慈誠会成増病院,1,0,0,1,0,0,0,0,,,,,
13,1918358,医療法人財団 朔望会 常盤台外科病院,医療法人財団朔望会 常盤台外科病院,1,1,1,0,0,0,1,0,,,,,
13,1970946,医療法人社団 明芳会 高島平中央総合病院,医療法人社団 明芳会 高島平中央総合病院,1,1,1,0,0,0,1,0,,,,,
